Date,Open,High,Low,Close,Volume,temp,Date2,ang,ang2,data_x,data_x2,data_x3
20160706,18200,19000,17750,18400,732711,-2.7,2016.12,,-2.7,8,0,10
20160705,17400,19900,17150,18100,2363111,-5.8,2017.01,,-5.8,7,0,9
20160704,17550,17950,17150,17300,657657,-4.7,2017.02,,-4.7,6,0,8
20160701,18400,18700,17400,17550,1388508,1.7,2017.03,,1.7,5,0,7
20160630,15850,20400,15700,18750,5122102,9.1,2017.04,,9.1,4,0,6
20160629,15950,16050,15600,15750,218974,14.4,2017.05,,14.4,3,0,5
20160628,15500,15850,15100,15500,184654,18.7,2017.06,,18.7,2,0,4
20160627,15000,15850,14800,15400,228962,24.3,2017.07,,24.3,1,0,3
20160624,16150,16300,14550,15750,484945,22.9,2017.08,,22.9,0,0,2
20160623,16550,16750,16000,16100,262567,17.5,2017.09,,17.5,0,0,1
20160622,16650,17200,16400,16700,220556,11.6,2017.1,,11.6,0,0,0
20160621,16250,16900,16250,16550,185183,1.3,2017.11,,1.3,0,0,0
20160620,16650,16750,16300,16450,174543,-5.7,2017.12,,-5.7,0,0,0
20160617,16700,16800,16300,16450,180146,-7.3,2018.01,,-7.3,0,0,0
,,,,,,,,,-8.3,,0,0
